DATE,MSPUS
2006-05-01,246300.0
2006-06-01,246300.0
2006-07-01,235600.0
2006-08-01,235600.0
2006-09-01,235600.0
2006-10-01,245400.0
2006-11-01,245400.0
2006-12-01,245400.0
2007-01-01,257400.0
2007-02-01,257400.0
2007-03-01,257400.0
2007-04-01,242200.0
2007-05-01,242200.0
2007-06-01,242200.0
2007-07-01,241800.0
2007-08-01,241800.0
2007-09-01,241800.0
2007-10-01,238400.0
2007-11-01,238400.0
2007-12-01,238400.0
2008-01-01,233900.0
2008-02-01,233900.0
2008-03-01,233900.0
2008-04-01,235300.0
2008-05-01,235300.0
2008-06-01,235300.0
2008-07-01,226500.0
2008-08-01,226500.0
2008-09-01,226500.0
2008-10-01,222500.0
2008-11-01,222500.0
2008-12-01,222500.0
2009-01-01,208400.0
2009-02-01,208400.0
2009-03-01,208400.0
2009-04-01,220900.0
2009-05-01,220900.0
2009-06-01,220900.0
2009-07-01,214300.0
2009-08-01,214300.0
2009-09-01,214300.0
2009-10-01,219000.0
2009-11-01,219000.0
2009-12-01,219000.0
2010-01-01,222900.0
2010-02-01,222900.0
2010-03-01,222900.0
2010-04-01,219500.0
2010-05-01,219500.0
2010-06-01,219500.0
2010-07-01,224100.0
2010-08-01,224100.0
2010-09-01,224100.0
2010-10-01,224300.0
2010-11-01,224300.0
2010-12-01,224300.0
2011-01-01,226900.0
2011-02-01,226900.0
2011-03-01,226900.0
2011-04-01,228100.0
2011-05-01,228100.0
2011-06-01,228100.0
2011-07-01,223500.0
2011-08-01,223500.0
2011-09-01,223500.0
2011-10-01,221100.0
2011-11-01,221100.0
2011-12-01,221100.0
2012-01-01,238400.0
2012-02-01,238400.0
2012-03-01,238400.0
2012-04-01,238700.0
2012-05-01,238700.0
2012-06-01,238700.0
2012-07-01,248800.0
2012-08-01,248800.0
2012-09-01,248800.0
2012-10-01,251700.0
2012-11-01,251700.0
2012-12-01,251700.0
2013-01-01,258400.0
2013-02-01,258400.0
2013-03-01,258400.0
2013-04-01,268100.0
2013-05-01,268100.0
2013-06-01,268100.0
2013-07-01,264800.0
2013-08-01,264800.0
2013-09-01,264800.0
2013-10-01,273600.0
2013-11-01,273600.0
2013-12-01,273600.0
2014-01-01,275200.0
2014-02-01,275200.0
2014-03-01,275200.0
2014-04-01,288000.0
2014-05-01,288000.0
2014-06-01,288000.0
2014-07-01,281000.0
2014-08-01,281000.0
2014-09-01,281000.0
2014-10-01,298900.0
2014-11-01,298900.0
2014-12-01,298900.0
2015-01-01,289200.0
2015-02-01,289200.0
2015-03-01,289200.0
2015-04-01,289100.0
2015-05-01,289100.0
2015-06-01,289100.0
2015-07-01,295800.0
2015-08-01,295800.0
2015-09-01,295800.0
2015-10-01,302500.0
2015-11-01,302500.0
2015-12-01,302500.0
2016-01-01,299800.0
2016-02-01,299800.0
2016-03-01,299800.0
2016-04-01,306000.0
2016-05-01,306000.0
2016-06-01,306000.0
2016-07-01,303800.0
2016-08-01,303800.0
2016-09-01,303800.0
2016-10-01,310900.0
2016-11-01,310900.0
2016-12-01,310900.0
2017-01-01,313100.0
2017-02-01,313100.0
2017-03-01,313100.0
2017-04-01,318200.0
2017-05-01,318200.0
2017-06-01,318200.0
2017-07-01,320500.0
2017-08-01,320500.0
2017-09-01,320500.0
2017-10-01,337900.0
2017-11-01,337900.0
2017-12-01,337900.0
2018-01-01,331800.0
2018-02-01,331800.0
2018-03-01,331800.0
2018-04-01,315600.0
2018-05-01,315600.0
2018-06-01,315600.0
2018-07-01,330900.0
2018-08-01,330900.0
2018-09-01,330900.0
2018-10-01,322800.0
2018-11-01,322800.0
2018-12-01,322800.0
2019-01-01,313000.0
2019-02-01,313000.0
2019-03-01,313000.0
2019-04-01,322500.0
2019-05-01,322500.0
2019-06-01,322500.0
2019-07-01,318400.0
2019-08-01,318400.0
2019-09-01,318400.0
2019-10-01,327100.0
2019-11-01,327100.0
2019-12-01,327100.0
2020-01-01,329000.0
2020-02-01,329000.0
2020-03-01,329000.0
2020-04-01,322600.0
2020-05-01,322600.0
2020-06-01,322600.0
2020-07-01,337500.0
2020-08-01,337500.0
2020-09-01,337500.0
2020-10-01,358700.0
2020-11-01,358700.0
2020-12-01,358700.0
2021-01-01,369800.0
2021-02-01,369800.0
2021-03-01,369800.0
2021-04-01,382600.0
2021-05-01,382600.0
2021-06-01,382600.0
2021-07-01,411200.0
2021-08-01,411200.0
2021-09-01,411200.0
2021-10-01,423600.0
2021-11-01,423600.0
2021-12-01,423600.0
2022-01-01,433100.0
2022-02-01,433100.0
2022-03-01,433100.0
2022-04-01,449300.0
2022-05-01,449300.0
2022-06-01,449300.0
2022-07-01,468000.0
2022-08-01,468000.0
2022-09-01,468000.0
2022-10-01,479500.0
2022-11-01,479500.0
2022-12-01,479500.0
2023-01-01,429000.0
2023-02-01,429000.0
2023-03-01,429000.0
2023-04-01,418500.0
2023-05-01,418500.0
2023-06-01,418500.0
2023-07-01,431000.0
